Country,Confirmed_x,Deaths_x,Recovered_x,Active_x,NewCases_x,NewDeaths_x,NewRecovered_x,Deaths_per_100_cases,Recovered_per_100_cases,Deaths_per_100_Recovered,Confirmed_last_week,1_week_change,1_week_percent_increase,WHO_Region_x,Continent,Population,Confirmed_y,NewCases_y,Deaths_y,NewDeaths_y,Recovered_y,NewRecovered_y,Active_y,Serious_or_Critical,Tot_Cases_per_1M_pop,Deaths_per_1M_pop,TotalTests,Tests_per_1M_pop,WHO_Region_y
Afghanistan,36263,1269,25198,9796,106,10,18,3.5,69.49,5.04,35526,737,2.07,Eastern Mediterranean,Asia,39009447.0,36896.0,0.0,1298.0,0.0,25840.0,0.0,9758.0,31.0,946.0,33.0,90396.0,2317.0,EasternMediterranean
Albania,4880,144,2745,1991,117,6,63,2.95,56.25,5.25,4171,709,17.0,Europe,Europe,2877470.0,6016.0,0.0,188.0,0.0,3155.0,0.0,2673.0,23.0,2091.0,65.0,38997.0,13553.0,Europe
Algeria,27973,1163,18837,7973,616,8,749,4.16,67.34,6.17,23691,4282,18.07,Africa,Africa,43926079.0,33626.0,0.0,1273.0,0.0,23238.0,0.0,9115.0,57.0,766.0,29.0,0.0,0.0,Africa
Andorra,907,52,803,52,10,0,0,5.73,88.53,6.48,884,23,2.6,Europe,Europe,77278.0,944.0,0.0,52.0,0.0,828.0,0.0,64.0,1.0,12216.0,673.0,3750.0,48526.0,Europe
Angola,950,41,242,667,18,1,0,4.32,25.47,16.94,749,201,26.84,Africa,Africa,32956300.0,1483.0,0.0,64.0,0.0,520.0,0.0,899.0,20.0,45.0,2.0,64747.0,1965.0,Africa
Antigua and Barbuda,86,3,65,18,4,0,5,3.49,75.58,4.62,76,10,13.16,Americas,North America,98010.0,92.0,0.0,3.0,0.0,76.0,0.0,13.0,1.0,939.0,31.0,1500.0,15305.0,Americas
Argentina,167416,3059,72575,91782,4890,120,2057,1.83,43.35,4.21,130774,36642,28.02,Americas,South America,45236884.0,228195.0,0.0,4251.0,0.0,99852.0,0.0,124092.0,1150.0,5044.0,94.0,794544.0,17564.0,Americas
Armenia,37390,711,26665,10014,73,6,187,1.9,71.32,2.67,34981,2409,6.89,Europe,Asia,2963811.0,39819.0,0.0,772.0,0.0,31556.0,0.0,7491.0,0.0,13435.0,260.0,171600.0,57898.0,Europe
Australia,15303,167,9311,5825,368,6,137,1.09,60.84,1.79,12428,2875,23.13,Western Pacific,Australia/Oceania,25528864.0,19890.0,0.0,255.0,0.0,10941.0,0.0,8694.0,52.0,779.0,10.0,4631419.0,181419.0,WesternPacific
Austria,20558,713,18246,1599,86,1,37,3.47,88.75,3.91,19743,815,4.13,Europe,Europe,9011577.0,21696.0,0.0,719.0,0.0,19596.0,0.0,1381.0,25.0,2408.0,80.0,937275.0,104008.0,Europe
Azerbaijan,30446,423,23242,6781,396,6,558,1.39,76.34,1.82,27890,2556,9.16,Europe,Asia,10148243.0,33247.0,0.0,479.0,0.0,29275.0,0.0,3493.0,66.0,3276.0,47.0,766179.0,75499.0,Europe
Bahamas,382,11,91,280,40,0,0,2.88,23.82,12.09,174,208,119.54,Americas,North America,393616.0,761.0,0.0,14.0,0.0,91.0,0.0,656.0,1.0,1933.0,36.0,4814.0,12230.0,Americas
Bahrain,39482,141,36110,3231,351,1,421,0.36,91.46,0.39,36936,2546,6.89,Eastern Mediterranean,Asia,1706669.0,42889.0,0.0,156.0,0.0,39945.0,0.0,2788.0,41.0,25130.0,91.0,876700.0,513691.0,EasternMediterranean
Bangladesh,226225,2965,125683,97577,2772,37,1801,1.31,55.56,2.36,207453,18772,9.05,South-East Asia,Asia,164851401.0,249651.0,0.0,3306.0,0.0,143824.0,0.0,102521.0,0.0,1514.0,20.0,1225124.0,7432.0,South-EastAsia
Barbados,110,7,94,9,0,0,0,6.36,85.45,7.45,106,4,3.77,Americas,North America,287411.0,133.0,0.0,7.0,0.0,100.0,0.0,26.0,0.0,463.0,24.0,12233.0,42563.0,Americas
Belarus,67251,538,60492,6221,119,4,67,0.8,89.95,0.89,66213,1038,1.57,Europe,Europe,9449001.0,68503.0,0.0,580.0,0.0,63756.0,0.0,4167.0,0.0,7250.0,61.0,1344303.0,142269.0,Europe
Belgium,66428,9822,17452,39154,402,1,14,14.79,26.27,56.28,64094,2334,3.64,Europe,Europe,11594739.0,71158.0,0.0,9859.0,0.0,17661.0,0.0,43638.0,61.0,6137.0,850.0,1767120.0,152407.0,Europe
Belize,48,2,26,20,0,0,0,4.17,54.17,7.69,40,8,20.0,Americas,North America,398312.0,86.0,0.0,2.0,0.0,31.0,0.0,53.0,2.0,216.0,5.0,3679.0,9236.0,Americas
Benin,1770,35,1036,699,0,0,0,1.98,58.53,3.38,1602,168,10.49,Africa,Africa,12151976.0,1936.0,0.0,38.0,0.0,1600.0,0.0,298.0,1.0,159.0,3.0,93677.0,7709.0,Africa
Bhutan,99,0,86,13,4,0,1,0.0,86.87,0.0,90,9,10.0,South-East Asia,Asia,772443.0,105.0,0.0,0.0,0.0,93.0,0.0,12.0,0.0,136.0,0.0,54589.0,70671.0,South-EastAsia
